[[119.42421871]],[[-0.55268967]],[[3.51283868]]
[[111.25882108]],[[-8.72360204]],[[-1.2314205]]
[[120.00878082]],[[10.84147812]],[[3.69758976]]
[[122.51547674]],[[-3.02053354]],[[1.401225]]
[[120.65970551]],[[34.17871803]],[[-49.05797794]]
[[4.65101796]],[[-17.46471675]],[[-3.12549317]]
[[113.82011507]],[[23.36646248]],[[8.03695817]]
[[4.80251887]],[[-12.54069669]],[[0.32672645]]
[[85.38323335]],[[62.96318203]],[[59.74497851]]
[[120.35153179]],[[3.98391205]],[[3.25742147]]
[[68.2332239]],[[8.87136457]],[[-323.64581634]]
[[43.35189457]],[[-144.98629734]],[[1258.44618285]]
[[120.66253839]],[[1.82478157]],[[1.58650982]]
[[-138.70264297]],[[152.94632304]],[[-47.35542155]]
[[321.57576943]],[[18.12230509]],[[-36.31708045]]
[[122.69459933]],[[-0.05283435]],[[3.887703]]
[[121.28741294]],[[1.12484003]],[[3.1043502]]
[[-0.4831956]],[[2.55322611]],[[-0.46721582]]
[[1.54246879]],[[1.46421217]],[[0.96172587]]
[[3.20752287]],[[2.31150624]],[[2.57165982]]
[[4.48166548]],[[2.90155827]],[[6.00472915]]
[[0.44380036]],[[-0.20659328]],[[0.66562563]]
[[121.99062251]],[[-7.80601097]],[[-1.06292874]]
[[58.64477453]],[[-16.82880715]],[[88.13411996]]
[[50.09335309]],[[21.28018629]],[[-18.66478177]]
[[28.46978587]],[[28.69401127]],[[-78.844733]]
[[118.96312893]],[[-0.50167613]],[[1.61636129]]
[[122.70481812]],[[-40.00560385]],[[-7.90502369]]
[[121.97912565]],[[2.41935906]],[[0.93778761]]
[[122.02272647]],[[0.8632207]],[[1.17123003]]
[[121.48420711]],[[-0.65109613]],[[1.50190156]]
[[120.01524588]],[[0.42856421]],[[-0.37489671]]
[[119.75903412]],[[0.78610832]],[[1.34171249]]
[[119.48651483]],[[-0.75649628]],[[0.98980521]]
[[119.59026999]],[[-1.55445793]],[[2.25287324]]
[[119.35348199]],[[9.69891455]],[[12.72224693]]
[[115.40273984]],[[1.60525612]],[[1.25479247]]
[[0.30355726]],[[-0.48696142]],[[-1.18233486]]
[[117.84669022]],[[0.39555087]],[[2.37857293]]
[[177.54723511]],[[443.45248656]],[[-422.14022659]]
[[-5.85228834]],[[5.0300855]],[[-15.28387769]]
[[54.05331948]],[[-18.10735066]],[[167.84366087]]
[[91.36233567]],[[49.79526655]],[[87.23816917]]
[[64.13302497]],[[3.01058768]],[[62.83375723]]
[[0.25789424]],[[1.05277862]],[[-1.19855933]]
[[3.03979816]],[[-3.32027683]],[[1.23725241]]
[[2.65609677]],[[2.54649599]],[[1.81471237]]
[[-0.50798768]],[[4.18775878]],[[-7.96259814]]
[[217.48921762]],[[-113.38926846]],[[172.7653536]]
[[93.36848342]],[[24.34906606]],[[-48.18127436]]
[[86.75011414]],[[1.07961046]],[[499.85406355]]
[[39.41665705]],[[-19.35935492]],[[119.57320068]]
[[99.85779]],[[727.08688442]],[[-5773.86856318]]
[[106.76845556]],[[-7.8540303]],[[37.2586803]]
[[27.90131563]],[[-39.93925749]],[[-32.52103973]]
[[118.71939517]],[[49.43284386]],[[-28.76905085]]
[[1316.61082201]],[[-0.86766008]],[[-3178.0102367]]
[[-39.10889648]],[[-106.91484459]],[[53.94357985]]
[[5.86712706]],[[-0.22182731]],[[-1.10185525]]
[[153.76605077]],[[36.65756059]],[[-100.03731452]]
[[-7.83507205]],[[2.09028051]],[[7.30236444]]
[[-5.05037802]],[[1.23572103]],[[2.49515387]]
[[-5.04531303]],[[-1.30406716]],[[3.92169548]]
[[122.37900671]],[[0.77038542]],[[2.43544379]]
[[0.2967058]],[[-0.11114272]],[[-0.99914445]]
[[118.97996626]],[[2.13529891]],[[-0.69458122]]
[[2.25254558]],[[1.10106875]],[[-3.23747278]]
[[2.57757977]],[[-2.78998619]],[[-2.38744928]]
[[5.00276919]],[[-6.21671594]],[[-2.9143305]]
[[5.74673147]],[[-4.53529505]],[[-4.62474784]]
[[2.88364437]],[[-0.63886269]],[[-3.80717607]]
[[3.84733233]],[[-0.52394403]],[[-3.79956103]]
[[-0.04819395]],[[0.26869742]],[[-1.65918496]]
[[1.32497563]],[[-0.66788838]],[[-3.04261285]]
[[3.39893716]],[[-2.14616306]],[[-5.12905734]]
[[5.09134076]],[[-0.02408385]],[[-5.70710253]]
[[6.04843345]],[[-3.84248468]],[[-6.39451195]]
[[7.30646059]],[[-4.27873242]],[[-7.67298756]]
[[9.81143929]],[[-2.26484836]],[[-9.04690537]]
